[2026-01-03 14:00:49] (PID 14251) [SERVER] Listening on port 5000
[2026-01-03 14:00:49] (PID 14309) [BB->SERVER] CONNECTED to server
[2026-01-03 14:00:49] (PID 14309) [BB] Connected to server
[2026-01-03 14:00:49] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:50] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:51] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:52] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:53] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:54] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:55] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:56] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:57] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:58] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:00:59] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
[2026-01-03 14:01:00] (PID 14309) [BB->CLIENT] connect to localhost:5001 failed (errno=111, Connection refused), retrying in 1s...
