[2025-12-04 14:43:35] (PID 30245) [MAIN] PROGRAM STARTED
[2025-12-04 14:43:35] (PID 30245) [MAIN] Main program running
[2025-12-04 14:43:35] (PID 30248) [TARG] Avviato (fd_in=13, fd_out=16)
[2025-12-04 14:43:35] (PID 30247) [OBST] Avviato (fd_in=9, fd_out=12)
[2025-12-04 14:43:36] (PID 30282) [BB] main avviato
[2025-12-04 14:43:36] (PID 30248) [TARG] Ricevute dimensioni finestra 66x40
[2025-12-04 14:43:36] (PID 30247) [OBST] Generati 12 ostacoli per grid 66x40
[2025-12-04 14:43:36] (PID 30247) [OBST] Inviati 12 ostacoli a blackboard (width=66 height=40)
[2025-12-04 14:43:36] (PID 30248) [TARG] Ricevuti 12 ostacoli
[2025-12-04 14:43:36] (PID 30248) [TARG] Generati 2 target per grid 66x40
[2025-12-04 14:43:36] (PID 30248) [TARG] Inviati 2 target a blackboard
[2025-12-04 14:43:36] (PID 30250) [DRONE] Initial drone position: (x = 33.000000, y = 20.000000)
[2025-12-04 14:43:39] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 1.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 2.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 3.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 4.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 5.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 6.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 7.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 8.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 9.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 10.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 11.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 12.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 13.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 14.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 15.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 16.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 17.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 18.000000, Fy = 0.000000
[2025-12-04 14:43:40] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 19.000000, Fy = 0.000000
[2025-12-04 14:43:46] (PID 30250) [DRONE] Input received, force updated, command: s, Fx = 18.000000, Fy = 0.000000
[2025-12-04 14:43:46] (PID 30250) [DRONE] Input received, force updated, command: s, Fx = 17.000000, Fy = 0.000000
[2025-12-04 14:43:46] (PID 30250) [DRONE] Input received, force updated, command: s, Fx = 16.000000, Fy = 0.000000
[2025-12-04 14:43:47] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = 8.000000, Fy = 0.000000
